type,省治愈,省治愈,省死亡,name,新增确诊,新增治愈,新增死亡,value,治愈,死亡,date
四川省,28,0,0,绵阳,0.0,0.0,0.0,2.0,0.0,0.0,2020-01-24
四川省,28,0,0,遂宁,1.0,0.0,0.0,2.0,0.0,0.0,2020-01-24
四川省,28,0,0,达州,0.0,0.0,0.0,1.0,0.0,0.0,2020-01-24
四川省,28,0,0,德阳,0.0,0.0,0.0,1.0,0.0,0.0,2020-01-24
四川省,28,0,0,雅安,0.0,0.0,0.0,1.0,0.0,0.0,2020-01-24
四川省,28,0,0,自贡,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-24
四川省,28,0,0,泸州,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-24
四川省,28,0,0,内江,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-24
辽宁省,16,0,0,沈阳,3.0,0.0,0.0,5.0,0.0,0.0,2020-01-24
辽宁省,16,0,0,大连,3.0,0.0,0.0,4.0,0.0,0.0,2020-01-24
辽宁省,16,0,0,朝阳,1.0,0.0,0.0,2.0,0.0,0.0,2020-01-24
辽宁省,16,0,0,铁岭,2.0,0.0,0.0,2.0,0.0,0.0,2020-01-24
辽宁省,16,0,0,葫芦岛,2.0,0.0,0.0,2.0,0.0,0.0,2020-01-24
辽宁省,16,0,0,本溪,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-24
贵州省,4,0,0,铜仁,1.0,0.0,0.0,2.0,0.0,0.0,2020-01-24
贵州省,4,0,0,贵阳,0.0,0.0,0.0,1.0,0.0,0.0,2020-01-24
贵州省,4,0,0,黔南州,0.0,0.0,0.0,1.0,0.0,0.0,2020-01-24
广西壮族自治区,23,0,0,北海,0.0,0.0,0.0,6.0,0.0,0.0,2020-01-24
广西壮族自治区,23,0,0,桂林,4.0,0.0,0.0,6.0,0.0,0.0,2020-01-24
广西壮族自治区,23,0,0,柳州,1.0,0.0,0.0,3.0,0.0,0.0,2020-01-24
广西壮族自治区,23,0,0,河池,2.0,0.0,0.0,3.0,0.0,0.0,2020-01-24
广西壮族自治区,23,0,0,防城港,2.0,0.0,0.0,2.0,0.0,0.0,2020-01-24
广西壮族自治区,23,0,0,梧州,0.0,0.0,0.0,1.0,0.0,0.0,2020-01-24
广西壮族自治区,23,0,0,百色,0.0,0.0,0.0,1.0,0.0,0.0,2020-01-24
广西壮族自治区,23,0,0,玉林,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-24
浙江省,62,1,0,台州,2.0,0.0,0.0,20.0,0.0,0.0,2020-01-24
浙江省,62,1,0,杭州,6.0,0.0,0.0,12.0,0.0,0.0,2020-01-24
浙江省,62,1,0,温州,4.0,0.0,0.0,10.0,1.0,0.0,2020-01-24
浙江省,62,1,0,宁波,1.0,0.0,0.0,6.0,0.0,0.0,2020-01-24
浙江省,62,1,0,绍兴,3.0,0.0,0.0,4.0,0.0,0.0,2020-01-24
浙江省,62,1,0,嘉兴,1.0,0.0,0.0,4.0,0.0,0.0,2020-01-24
浙江省,62,1,0,舟山,1.0,0.0,0.0,2.0,0.0,0.0,2020-01-24
浙江省,62,1,0,金华,1.0,0.0,0.0,2.0,0.0,0.0,2020-01-24
浙江省,62,1,0,衢州,0.0,0.0,0.0,2.0,0.0,0.0,2020-01-24
山东省,27,0,0,青岛,2.0,0.0,0.0,6.0,0.0,0.0,2020-01-24
山东省,27,0,0,威海,1.0,0.0,0.0,3.0,0.0,0.0,2020-01-24
山东省,27,0,0,临沂,1.0,0.0,0.0,3.0,0.0,0.0,2020-01-24
山东省,27,0,0,日照,2.0,0.0,0.0,3.0,0.0,0.0,2020-01-24
山东省,27,0,0,济南,1.0,0.0,0.0,3.0,0.0,0.0,2020-01-24
山东省,27,0,0,烟台,0.0,0.0,0.0,2.0,0.0,0.0,2020-01-24
山东省,27,0,0,济宁,1.0,0.0,0.0,2.0,0.0,0.0,2020-01-24
山东省,27,0,0,潍坊,0.0,0.0,0.0,1.0,0.0,0.0,2020-01-24
山东省,27,0,0,德州,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-24
山东省,27,0,0,聊城,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-24
山东省,27,0,0,滨州,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-24
山东省,27,0,0,菏泽,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-24
云南省,11,0,0,昆明,2.0,0.0,0.0,4.0,0.0,0.0,2020-01-24
云南省,11,0,0,丽江市,2.0,0.0,0.0,2.0,0.0,0.0,2020-01-24
云南省,11,0,0,西双版纳州,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-24
云南省,11,0,0,曲靖,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-24
云南省,11,0,0,玉溪,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-24
云南省,11,0,0,红河,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-24
云南省,11,0,0,大理,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-24
海南省,19,0,0,三亚,4.0,0.0,0.0,6.0,0.0,0.0,2020-01-24
海南省,19,0,0,万宁,3.0,0.0,0.0,5.0,0.0,0.0,2020-01-24
海南省,19,0,0,海口,0.0,0.0,0.0,3.0,0.0,0.0,2020-01-24
海南省,19,0,0,儋州,3.0,0.0,0.0,3.0,0.0,0.0,2020-01-24
海南省,19,0,0,临高县,0.0,0.0,0.0,1.0,0.0,0.0,2020-01-24
海南省,19,0,0,陵水县,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-24
内蒙古自治区,2,0,0,满洲里,0.0,0.0,0.0,1.0,0.0,0.0,2020-01-24
内蒙古自治区,2,0,0,锡林郭勒,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-24
宁夏回族自治区,3,0,0,银川,0.0,0.0,0.0,1.0,0.0,0.0,2020-01-24
宁夏回族自治区,3,0,0,中卫,0.0,0.0,0.0,1.0,0.0,0.0,2020-01-24
宁夏回族自治区,3,0,0,固原,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-24
甘肃省,4,0,0,兰州,1.0,0.0,0.0,2.0,0.0,0.0,2020-01-24
甘肃省,4,0,0,白银,0.0,0.0,0.0,1.0,0.0,0.0,2020-01-24
甘肃省,4,0,0,临夏,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-24
重庆市,57,0,0,万州区,7.0,0.0,0.0,10.0,0.0,0.0,2020-01-24
重庆市,57,0,0,长寿区,2.0,0.0,0.0,5.0,0.0,0.0,2020-01-24
重庆市,57,0,0,开州区,2.0,0.0,0.0,4.0,0.0,0.0,2020-01-24
重庆市,57,0,0,巫山县,0.0,0.0,0.0,3.0,0.0,0.0,2020-01-24
重庆市,57,0,0,永川区,1.0,0.0,0.0,3.0,0.0,0.0,2020-01-24
重庆市,57,0,0,九龙坡区,1.0,0.0,0.0,3.0,0.0,0.0,2020-01-24
重庆市,57,0,0,忠县,2.0,0.0,0.0,3.0,0.0,0.0,2020-01-24
重庆市,57,0,0,两江新区,2.0,0.0,0.0,3.0,0.0,0.0,2020-01-24
重庆市,57,0,0,石柱县,3.0,0.0,0.0,3.0,0.0,0.0,2020-01-24
重庆市,57,0,0,垫江县,0.0,0.0,0.0,2.0,0.0,0.0,2020-01-24
重庆市,57,0,0,大渡口区,1.0,0.0,0.0,2.0,0.0,0.0,2020-01-24
重庆市,57,0,0,渝北区,0.0,0.0,0.0,2.0,0.0,0.0,2020-01-24
重庆市,57,0,0,云阳县,1.0,0.0,0.0,2.0,0.0,0.0,2020-01-24
重庆市,57,0,0,巫溪县,1.0,0.0,0.0,2.0,0.0,0.0,2020-01-24
重庆市,57,0,0,合川区,2.0,0.0,0.0,2.0,0.0,0.0,2020-01-24
重庆市,57,0,0,璧山区,2.0,0.0,0.0,2.0,0.0,0.0,2020-01-24
重庆市,57,0,0,涪陵区,0.0,0.0,0.0,1.0,0.0,0.0,2020-01-24
重庆市,57,0,0,奉节县,0.0,0.0,0.0,1.0,0.0,0.0,2020-01-24
重庆市,57,0,0,秀山县,0.0,0.0,0.0,1.0,0.0,0.0,2020-01-24
重庆市,57,0,0,梁平区,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-24
重庆市,57,0,0,城口县,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-24
重庆市,57,0,0,丰都县,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-24
江苏省,18,1,0,常州,5.0,0.0,0.0,5.0,0.0,0.0,2020-01-24
江苏省,18,1,0,南京,1.0,0.0,0.0,4.0,0.0,0.0,2020-01-24
江苏省,18,1,0,苏州,1.0,1.0,0.0,3.0,1.0,0.0,2020-01-24
江苏省,18,1,0,连云港,0.0,0.0,0.0,1.0,0.0,0.0,2020-01-24
江苏省,18,1,0,扬州,0.0,0.0,0.0,1.0,0.0,0.0,2020-01-24
江苏省,18,1,0,南通,0.0,0.0,0.0,1.0,0.0,0.0,2020-01-24
江苏省,18,1,0,无锡,0.0,0.0,0.0,1.0,0.0,0.0,2020-01-24
江苏省,18,1,0,盐城,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-24
江苏省,18,1,0,宿迁,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-24
河南省,32,0,0,南阳,8.0,0.0,0.0,8.0,0.0,0.0,2020-01-24
河南省,32,0,0,郑州,3.0,0.0,0.0,6.0,0.0,0.0,2020-01-24
河南省,32,0,0,信阳,4.0,0.0,0.0,5.0,0.0,0.0,2020-01-24
河南省,32,0,0,周口,3.0,0.0,0.0,4.0,0.0,0.0,2020-01-24
河南省,32,0,0,巩义,0.0,0.0,0.0,2.0,0.0,0.0,2020-01-24
河南省,32,0,0,驻马店,2.0,0.0,0.0,2.0,0.0,0.0,2020-01-24
河南省,32,0,0,洛阳,0.0,0.0,0.0,1.0,0.0,0.0,2020-01-24
河南省,32,0,0,三门峡,0.0,0.0,0.0,1.0,0.0,0.0,2020-01-24
河南省,32,0,0,新乡,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-24
河南省,32,0,0,平顶山,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-24
